OTU	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1	Taxonomy
Otu000087	206	230	216	125	156	112	238	181	163	199	172	112	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
Otu000088	50	215	53	140	172	209	209	264	250	279	46	172	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu000089	191	224	325	84	195	34	166	321	178	142	85	93	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
Otu000090	80	314	49	161	205	243	192	233	220	204	33	97	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu000091	195	210	211	153	188	131	178	203	166	150	117	126	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__;g__;s__
Otu000092	277	250	303	112	137	108	164	154	192	132	95	91	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__S0134_terrestrial_group;f__;g__;s__
Otu000093	249	177	316	156	173	113	131	127	171	135	158	95	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
Otu000094	232	174	238	150	197	149	156	182	180	137	126	76	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
Otu000095	239	197	234	114	168	143	167	166	212	144	103	108	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84
Otu000096	44	27	47	184	227	207	198	169	234	231	228	187	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__
Otu000097	218	270	17	110	128	105	141	526	80	102	118	160	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter;s__Rhodanobacter_lindaniclasticus
Otu000098	18	20	11	141	185	159	82	143	128	364	461	261	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae
Otu000099	166	219	124	256	316	268	94	166	209	47	58	47	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Lentzea
Otu000100	46	59	51	215	222	168	102	139	170	224	277	235	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter
Otu000101	13	6	17	179	316	310	43	30	51	201	314	421	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae
Otu000102	225	218	329	93	160	79	72	188	128	144	124	122	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__S0134_terrestrial_group;f__;g__;s__
Otu000103	1	5	4	157	324	100	4	5	13	219	130	917	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia
Otu000104	53	50	42	70	95	23	149	299	98	382	352	245	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
Otu000105	134	112	174	150	162	167	148	121	129	185	229	121	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis
Otu000106	40	78	32	115	156	103	104	151	139	378	273	219	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae
Otu000107	112	62	50	128	68	80	183	207	179	203	211	284	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Pseudospirillum;s__
Otu000108	7	9	9	97	321	204	19	11	18	211	240	570	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Nannocystaceae;g__Nannocystis
Otu000109	31	26	11	141	125	91	81	214	190	199	342	264	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae
Otu000110	52	29	25	180	163	157	164	159	153	173	226	214	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
Otu000111	127	149	258	133	111	158	84	163	89	151	138	125	Root;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
Otu000112	251	185	217	100	127	65	126	170	115	121	121	84	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__S0134_terrestrial_group;f__;g__;s__
Otu000113	189	141	250	126	119	128	107	111	133	134	137	84	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
Otu000114	8	10	8	35	45	23	160	210	192	347	281	332	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter
Otu000115	27	43	0	162	76	100	18	74	20	258	343	504	Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium_flevense
Otu000116	228	200	214	108	123	102	115	141	89	107	90	99	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu000117	34	26	17	126	153	110	175	120	141	302	266	140	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter
Otu000118	177	166	172	100	160	133	147	126	108	103	113	102	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu000119	285	175	183	64	90	93	162	158	207	57	46	74	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Otu000120	164	134	216	98	164	124	139	149	152	94	58	89	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
Otu000121	81	56	210	70	57	69	124	161	119	280	220	126	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
Otu000122	29	29	50	301	281	216	65	68	120	74	136	201	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Parafilimonas;s__
Otu000123	186	216	221	92	131	109	112	128	117	100	75	83	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu000124	51	48	81	70	94	67	111	198	169	233	258	190	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
Otu000125	138	103	82	79	143	153	175	181	188	115	94	118	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae
Otu000126	45	30	47	176	140	114	79	67	80	321	248	215	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas
Otu000127	103	68	64	107	124	91	132	146	197	166	134	229	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu000128	144	135	111	83	132	110	184	149	188	121	84	115	Root;k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__;f__;g__;s__
Otu000129	27	17	20	434	390	230	11	7	30	45	155	183	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Taibaiella
Otu000130	113	122	154	73	107	40	136	255	120	167	136	125	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes
Otu000131	155	188	265	68	50	69	106	169	122	143	104	77	Root;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__
Otu000132	188	142	204	106	96	97	121	114	143	119	86	83	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu000133	66	72	12	26	48	28	171	408	208	178	119	163	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira;s__Nitrosospira_sp
Otu000134	17	73	20	100	153	167	25	32	41	19	306	517	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Pseudoduganella;s__
Otu000135	164	187	406	153	139	131	32	70	43	53	50	40	Root;k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter;s__
Otu000136	115	229	111	58	129	116	115	118	196	103	81	77	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae
Otu000137	326	362	26	94	113	137	47	184	51	25	5	77	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter;s__
Otu000138	45	31	28	313	348	237	55	33	50	68	100	127	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Dyadobacter;s__Dyadobacter_fermentans
Otu000139	168	178	300	97	95	98	80	108	77	107	67	53	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group
Otu000140	60	47	77	28	25	21	188	231	293	160	192	97	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
Otu000141	100	136	171	68	131	32	141	236	111	105	69	106	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
Otu000142	69	65	78	103	118	114	145	190	200	92	123	105	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter_yangpyeongensis
Otu000143	128	105	141	71	102	72	170	164	136	126	106	79	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
Otu000144	191	141	137	86	115	48	126	121	160	115	67	92	Root;k__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__;s__
Otu000145	69	49	43	97	131	83	172	154	181	151	161	93	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Pontibacter;s__Pontibacter_korlensis
Otu000146	171	134	169	124	103	131	110	112	112	89	64	65	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
Otu000147	206	85	160	71	100	83	131	121	171	90	75	82	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__AT425-EubC11_terrestrial_group;f__;g__;s__
Otu000148	218	210	18	104	90	91	110	339	87	21	8	77	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__Rhizomicrobium;s__
