OTU	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1	Taxonomy
Otu005389	1	2	0	1	1	0	1	0	1	1	0	0	Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
Otu005390	1	1	4	0	0	0	1	0	1	0	0	0	Root;k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales
Otu005391	0	0	1	0	0	1	1	2	2	1	0	0	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005392	0	0	3	1	2	0	0	0	1	0	1	0	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
Otu005393	2	3	1	0	2	0	0	0	0	0	0	0	Root;k__Bacteria
Otu005394	0	0	0	1	0	0	1	3	2	0	1	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__
Otu005395	1	3	1	0	0	0	1	0	0	0	1	1	Root;k__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__;f__;g__;s__
Otu005396	2	3	1	0	0	0	0	1	0	1	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__
Otu005397	0	0	0	0	1	0	0	0	3	3	1	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__Agaricicola;s__Agaricicola_taiwanensis
Otu005398	0	1	0	0	2	0	0	3	0	2	0	0	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005399	0	1	0	0	0	1	4	0	2	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005400	2	0	3	0	2	0	0	0	0	1	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae;g__Peredibacter;s__
Otu005401	0	4	0	0	0	0	0	1	2	0	1	0	Root;k__Bacteria;p__Chloroflexi;c__KD4-96;o__;f__;g__;s__
Otu005402	3	0	1	0	1	0	2	1	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Sorangium;s__
Otu005403	1	0	2	2	1	1	0	0	0	0	1	0	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__AT-s3-28;f__;g__;s__
Otu005404	2	0	0	0	0	1	2	2	1	0	0	0	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Olivibacter;s__
Otu005405	1	2	0	0	0	0	3	0	1	1	0	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__MND8;g__;s__
Otu005406	3	1	0	2	0	0	0	0	0	1	1	0	Root;k__Bacteria;p__Proteobacteria
Otu005407	0	1	3	0	0	3	1	0	0	0	0	0	Root;k__Bacteria;p__Proteobacteria
Otu005408	2	2	0	1	1	0	0	1	1	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
Otu005409	1	0	2	1	1	0	0	2	0	0	1	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Nitrospinaceae;g__;s__
Otu005410	0	4	1	1	0	1	0	0	1	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__OM190;o__;f__;g__;s__
Otu005411	1	0	2	0	1	3	0	1	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadales_Incertae_Sedis;g__Acidibacter;s__
Otu005412	0	0	0	2	1	0	1	1	0	0	2	1	Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus;s__Brevibacillus_borstelensis
Otu005413	2	0	1	0	0	1	4	0	0	0	0	0	Root;k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Lineage_IIa;f__;g__;s__
Otu005414	1	0	0	2	0	0	0	2	0	0	2	1	Root;k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter
Otu005415	1	0	0	0	1	0	0	0	0	2	2	2	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Hymenobacter
Otu005416	2	0	0	0	0	0	0	0	0	1	4	1	Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__;g__;s__
Otu005417	2	1	0	1	1	0	0	2	0	0	1	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
Otu005418	0	4	0	0	3	1	0	0	0	0	0	0	Root;k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__
Otu005419	0	0	0	0	1	1	2	0	0	3	0	1	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__S0134_terrestrial_group;f__;g__;s__
Otu005420	0	2	0	0	0	2	1	0	0	3	0	0	Root;k__Bacteria;p__Planctomycetes;c__OM190;o__;f__;g__;s__
Otu005421	0	0	0	1	0	1	0	3	1	2	0	0	Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__AKYG1722;f__;g__;s__
Otu005422	1	0	0	1	0	3	0	0	1	2	0	0	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005423	0	2	0	2	0	0	1	0	2	0	0	1	Root;k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__
Otu005424	0	3	4	0	0	0	0	0	0	1	0	0	Root;k__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales;f__Thermotogaceae;g__GAL15;s__
Otu005425	6	0	0	1	0	0	0	1	0	0	0	0	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Sediminibacterium;s__
Otu005426	0	1	0	0	4	0	0	2	0	0	0	1	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005427	2	3	0	0	1	2	0	0	0	0	0	0	Root;k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__
Otu005428	0	0	0	0	0	0	0	0	2	5	1	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__NKB5;f__;g__;s__
Otu005429	0	1	0	2	0	2	1	0	2	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__Pla4_lineage;o__;f__;g__;s__
Otu005430	1	2	1	1	2	1	0	0	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
Otu005431	1	1	1	1	1	0	0	1	1	0	0	1	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005432	0	0	0	1	0	1	0	2	2	2	0	0	Root;k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__;f__;g__;s__
Otu005433	0	5	0	0	1	1	0	0	1	0	0	0	Root;k__Bacteria;p__TM6;c__;o__;f__;g__;s__
Otu005434	1	1	3	1	2	0	0	0	0	0	0	0	Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__0319-6M6;g__;s__
Otu005435	0	0	0	0	0	1	2	5	0	0	0	0	Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
Otu005436	1	0	0	0	1	0	1	5	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
Otu005437	3	1	4	0	0	0	0	0	0	0	0	0	Root;k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Lineage_IIb;f__;g__;s__
Otu005438	0	0	0	0	0	0	0	0	0	8	0	0	Root;k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__
Otu005439	0	0	1	3	0	0	0	3	0	0	0	1	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005440	0	2	0	0	0	0	0	6	0	0	0	0	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Segetibacter
Otu005441	2	0	1	0	2	1	2	0	0	0	0	0	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__envOPS_17;g__;s__
Otu005442	0	4	4	0	0	0	0	0	0	0	0	0	Root;k__Bacteria
Otu005443	0	5	0	0	0	0	1	2	0	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005444	2	0	1	2	0	0	0	3	0	0	0	0	Root;k__Bacteria;p__Saccharibacteria
Otu005445	0	0	2	0	0	0	1	0	0	4	0	1	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales
Otu005446	1	0	1	0	2	1	0	0	0	1	1	1	Root;k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__;g__;s__
Otu005447	0	2	3	1	0	0	0	1	1	0	0	0	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu005448	3	0	0	3	1	0	1	0	0	0	0	0	Root;k__Bacteria;p__Omnitrophica;c__NPL-UPA2
Otu005449	0	0	0	2	1	0	1	0	4	0	0	0	Root;k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__
Otu005450	1	1	0	0	2	0	1	1	0	1	0	1	Root;k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira
Otu005451	2	2	0	0	0	0	0	4	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter
Otu005452	0	0	2	0	0	0	1	0	2	2	1	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
Otu005453	1	0	0	0	0	0	0	0	1	4	1	1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__NKB5;f__;g__;s__
Otu005454	2	4	2	0	0	0	0	0	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae;g__Peredibacter
Otu005455	0	1	3	0	0	0	0	1	1	2	0	0	Root;k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__
Otu005456	2	1	0	0	2	2	0	0	1	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005457	0	0	2	0	1	0	0	0	0	3	2	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__
Otu005458	0	1	0	2	0	0	1	3	1	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__Pla4_lineage;o__;f__;g__;s__
Otu005459	0	4	3	0	0	0	1	0	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__OM27_clade;s__
Otu005460	2	1	1	0	1	0	1	0	0	2	0	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella;s__
Otu005461	0	3	0	0	1	0	1	2	0	0	0	1	Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__AKYG1722;f__;g__;s__
Otu005462	1	1	0	0	1	0	1	1	1	0	0	2	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides_sp_KV-833
Otu005463	4	0	2	0	1	0	0	0	0	0	0	1	Root;k__Bacteria;p__WCHB1-60;c__;o__;f__;g__;s__
Otu005464	1	3	0	1	3	0	0	0	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae;g__Sandaracinus;s__
Otu005465	2	2	1	1	0	1	0	0	0	0	0	1	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
Otu005466	0	0	1	1	0	0	3	0	2	1	0	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__Parvularcula;s__
Otu005467	1	2	0	1	0	0	0	0	0	2	0	2	Root;k__Bacteria;p__Planctomycetes;c__vadinHA49;o__;f__;g__;s__
Otu005468	0	2	1	1	1	2	0	0	0	1	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__bacteriap25;g__;s__
Otu005469	1	0	3	0	1	2	0	0	0	0	1	0	Root;k__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__;s__
Otu005470	0	1	0	1	0	0	2	4	0	0	0	0	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
Otu005471	0	5	0	0	1	1	0	0	0	0	1	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Oligoflexales;f__;g__;s__
Otu005472	0	1	0	1	0	1	0	4	0	0	1	0	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces
Otu005473	0	0	0	0	0	0	1	1	0	3	1	2	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales
Otu005474	1	0	0	0	1	1	3	1	1	0	0	0	Root;k__Bacteria;p__Actinobacteria;c__TakashiAC-B11;o__;f__;g__;s__
Otu005475	1	3	0	1	0	1	0	1	1	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02;s__
Otu005476	1	2	2	1	0	0	0	1	0	0	0	1	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__
Otu005477	3	0	0	0	2	2	0	1	0	0	0	0	Root;k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__
Otu005478	0	0	0	0	2	1	1	2	1	1	0	0	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu005479	0	0	1	0	0	0	0	7	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae
Otu005480	0	1	0	0	0	0	1	0	1	3	0	2	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02;s__
Otu005481	0	3	2	0	0	1	1	1	0	0	0	0	Root;k__Bacteria;p__Hydrogenedentes;c__;o__;f__;g__;s__
Otu005482	0	0	0	0	0	1	1	0	4	2	0	0	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Taibaiella;s__
Otu005483	0	2	2	0	2	0	0	1	0	0	1	0	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria
Otu005484	3	1	0	0	0	0	0	0	2	0	2	0	Root;k__Bacteria
Otu005485	2	0	0	1	0	1	0	2	2	0	0	0	Root;k__Bacteria;p__Armatimonadetes
Otu005486	0	0	0	0	1	0	0	1	1	2	2	1	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Vulgatibacteraceae;g__Vulgatibacter;s__
Otu005487	2	3	0	0	0	0	0	0	2	0	0	1	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__
Otu005488	3	1	0	0	0	1	1	2	0	0	0	0	Root;k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Lineage_IIa;f__;g__;s__
Otu005489	1	1	2	0	0	1	0	0	2	0	0	1	Root;k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__
Otu005490	0	0	0	0	0	0	3	0	2	1	2	0	Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Sinibacillus;s__Ornithinibacillus_sp_GD05
Otu005491	2	1	0	0	0	2	2	1	0	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu005492	0	0	0	0	0	0	0	0	0	8	0	0	Root;k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__;s__
Otu005493	3	0	0	1	0	0	2	1	0	1	0	0	Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
Otu005494	0	0	0	0	0	0	0	0	0	2	0	6	Root;k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
Otu005495	1	1	0	2	0	0	0	2	2	0	0	0	Root;k__Bacteria;p__Hydrogenedentes;c__;o__;f__;g__;s__
Otu005496	0	0	0	0	0	0	2	1	5	0	0	0	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__
Otu005497	1	0	2	0	0	0	0	1	2	2	0	0	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
Otu005498	2	0	2	0	0	1	0	0	3	0	0	0	Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__0319-6M6;g__;s__
Otu005499	2	3	0	0	0	0	1	0	0	0	0	2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudofulvimonas;s__
Otu005500	1	4	1	0	1	0	0	0	1	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__
Otu005501	2	2	0	0	1	0	1	0	2	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Polyangium;s__
Otu005502	0	0	0	1	0	0	0	0	0	3	4	0	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__envOPS_17;g__;s__
Otu005503	0	2	0	0	2	1	0	0	2	0	1	0	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
Otu005504	5	0	2	0	0	0	1	0	0	0	0	0	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
Otu005505	2	2	1	0	0	1	2	0	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
Otu005506	0	0	0	0	2	0	1	2	0	2	0	1	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__NS11-12_marine_group;g__;s__
Otu005507	0	0	3	2	0	0	0	0	2	1	0	0	Root;k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
Otu005508	0	2	0	0	1	1	1	0	2	0	0	1	Root;k__Bacteria;p__Planctomycetes;c__OM190;o__;f__;g__;s__
Otu005509	2	3	1	0	2	0	0	0	0	0	0	0	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__envOPS_17;g__;s__
Otu005510	0	1	4	2	0	0	0	0	1	0	0	0	Root;k__Bacteria
Otu005511	0	0	0	1	1	0	4	1	0	0	0	1	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__S0134_terrestrial_group;f__;g__;s__
Otu005512	0	1	0	0	0	0	0	0	4	1	1	1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
Otu005513	3	1	0	1	0	2	0	1	0	0	0	0	Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
Otu005514	0	1	2	0	2	1	0	0	1	0	0	1	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__
Otu005515	0	3	0	1	1	1	0	2	0	0	0	0	Root;k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__
Otu005516	3	0	0	0	0	0	0	0	5	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudofulvimonas;s__
Otu005517	0	2	0	0	0	2	1	2	0	1	0	0	Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02;s__
Otu005518	4	0	0	0	0	2	0	0	1	1	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium;s__bacterium_Ellin6502
Otu005519	0	1	0	0	4	1	0	1	1	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005520	2	2	1	0	1	0	1	0	0	0	0	1	Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__;f__;g__;s__
Otu005521	0	3	0	0	2	0	0	1	2	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Oligoflexales;f__;g__;s__
Otu005522	3	2	1	1	0	0	1	0	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
Otu005523	3	1	0	0	0	1	0	1	1	0	0	1	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__P3OB-42;g__;s__
Otu005524	1	4	3	0	0	0	0	0	0	0	0	0	Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__NS11-12_marine_group;g__;s__
Otu005525	1	2	4	0	0	0	0	0	1	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Oligoflexales;f__;g__;s__
Otu005526	0	0	0	1	2	0	1	2	0	0	1	1	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
Otu005527	0	0	4	0	1	0	2	0	1	0	0	0	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__;s__
Otu005528	4	1	1	0	0	0	1	1	0	0	0	0	Root;k__Bacteria;p__Chloroflexi;c__TK10;o__;f__;g__;s__
Otu005529	1	0	0	1	2	0	2	2	0	0	0	0	Root;k__Bacteria;p__Chlamydiae;c__Chlamydiae;o__Chlamydiales
Otu005530	3	4	0	0	0	0	0	0	0	0	0	1	Root;k__Bacteria;p__Saccharibacteria;c__;o__;f__;g__;s__
Otu005531	0	0	0	1	0	0	2	3	1	0	1	0	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__;s__
Otu005532	1	2	0	1	0	1	0	0	1	1	1	0	Root;k__Bacteria
Otu005533	0	1	0	1	0	2	0	1	0	2	0	1	Root;k__Bacteria;p__Chlamydiae;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae;g__Candidatus_Protochlamydia;s__
Otu005534	1	2	0	0	1	0	0	1	1	1	0	1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadales_Incertae_Sedis;g__Acidibacter;s__
Otu005535	1	1	2	0	0	0	0	1	2	0	1	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__mle1-27
Otu005536	1	2	3	0	0	0	1	0	0	1	0	0	Root;k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__OPB56;g__;s__
Otu005537	2	0	0	0	1	0	0	0	1	2	0	2	Root;k__Bacteria;p__Armatimonadetes;c__;o__;f__;g__;s__
Otu005538	2	0	0	1	0	1	0	4	0	0	0	0	Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
Otu005539	0	0	0	0	0	0	5	1	0	1	1	0	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Prauserella;s__Amycolatopsis_sp_R189
Otu005540	1	1	1	0	0	1	0	0	1	1	0	1	Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
Otu005541	1	1	0	1	3	1	0	0	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Oligoflexales;f__;g__;s__
Otu005542	1	0	0	0	0	0	1	0	4	0	0	1	Root;k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group
Otu005543	0	0	0	1	0	0	0	1	1	2	0	2	Root;k__Bacteria;p__WCHB1-60;c__;o__;f__;g__;s__
Otu005544	1	3	0	0	0	0	2	1	0	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__
Otu005545	0	1	0	1	0	1	0	2	0	0	2	0	Root;k__Bacteria
Otu005546	0	0	0	0	0	3	0	1	0	0	3	0	Root;k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae
Otu005547	0	1	0	0	2	1	0	2	0	0	1	0	Root;k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__
Otu005548	0	3	3	0	0	0	0	0	0	1	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Blfdi19;g__Anaeromyxobacter_dehalogenans;s__Anaeromyxobacter_dehalogenans
Otu005549	1	1	2	1	0	1	0	0	1	0	0	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
Otu005550	0	4	2	0	0	0	0	0	1	0	0	0	Root;k__Bacteria;p__Chloroflexi;c__SAR202_clade;o__;f__;g__;s__
Otu005551	0	3	0	0	0	0	1	1	0	0	2	0	Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__
Otu005552	0	1	0	0	3	0	0	1	1	0	1	0	Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio_bacteriovorus
Otu005553	1	1	0	0	0	0	1	1	0	1	1	1	Root;k__Bacteria;p__Firmicutes;c__OPB54;o__;f__;g__;s__
Otu005554	0	1	0	1	0	0	0	0	4	1	0	0	Root;k__Bacteria;p__Parcubacteria;c__;o__;f__;g__;s__
Otu005555	1	0	0	0	0	0	1	0	4	0	0	1	Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
