Otu	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-1	TC-2	TC-3
Otu000213	181	132	94	72	101	84	77	60	86	61	46	71
Otu000214	69	136	52	86	118	114	102	139	118	51	43	36
Otu000215	138	102	73	56	83	99	84	119	107	64	57	82
Otu000216	13	22	0	50	17	27	84	226	15	164	232	208
Otu000217	39	49	24	349	296	49	9	4	42	164	9	22
Otu000218	31	19	26	205	134	147	84	58	62	77	126	83
Otu000219	69	51	55	59	85	85	48	53	39	86	231	190
Otu000220	127	71	153	52	93	67	120	96	92	48	66	64
Otu000221	43	52	54	56	77	60	104	142	112	126	122	91
Otu000222	110	100	81	56	60	69	118	100	152	62	53	75
Otu000223	89	87	4	99	255	82	42	51	32	216	49	23
Otu000224	151	102	177	56	73	61	78	69	75	52	67	66
Otu000225	13	12	30	36	11	47	70	108	103	120	244	231
Otu000226	125	130	156	45	60	58	92	85	134	29	42	62
Otu000227	59	99	32	74	121	83	64	85	70	110	121	96
Otu000228	119	71	153	86	100	76	68	68	76	47	72	74
Otu000229	101	54	81	54	84	62	92	92	101	74	100	109
Otu000230	63	63	70	124	104	117	42	28	76	119	115	83
Otu000231	140	81	125	67	101	68	99	73	85	41	54	68
Otu000232	144	70	2	187	234	55	43	63	26	87	61	27
Otu000233	110	79	80	34	47	53	96	123	126	83	102	62
Otu000234	98	124	97	72	78	46	76	105	57	88	48	105
Otu000235	135	126	69	139	168	108	35	29	34	31	67	51
Otu000236	192	96	159	46	77	49	92	74	50	14	71	60
Otu000237	122	176	29	29	38	31	74	190	67	70	47	104
Otu000238	34	164	25	74	89	118	90	109	104	62	7	96
Otu000239	69	111	31	55	71	58	74	146	163	65	70	56
Otu000240	0	1	0	168	183	202	4	3	2	151	94	158
Otu000241	47	52	34	22	40	41	78	163	116	122	128	122
Otu000242	173	147	132	89	106	109	39	19	45	16	37	52
Otu000243	41	57	70	55	100	50	89	99	119	118	89	73
Otu000244	19	19	63	80	80	39	31	106	44	76	274	126
Otu000245	47	47	58	74	61	98	69	53	68	96	141	145
