	sequences per sample	iteration	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1
alpha_rarefaction_20010_8.txt	20010	8	4880.40917782	5579.83044983	4422.60227273	4348.63829787	4302.91	4422.14072495	4735.84210526	4625.42362525	4771.28076923	4369.67381974	3484.83631714	4222.16504854
alpha_rarefaction_20010_9.txt	20010	9	4950.62476895	5108.65163297	4542.15984405	4291.51265823	4549.51230425	4400.15051546	4776.84023669	4804.81563126	4639.4	4308.03571429	3781.85028249	3963.92344498
alpha_rarefaction_25010_0.txt	25010	0	5211.00502513	5798.16640747	4615.92438563	4745.62203024	4642.50092421	4843.32110092	4788.43243243	4820.26315789	4936.41	4540.79754601	3902.16923077	4321.60674157
alpha_rarefaction_25010_1.txt	25010	1	5166.87987013	5754.20700152	4631.61974406	4616.83962264	4670.29607843	4676.96103896	4673.31986532	5097.83752418	5059.61063465	4529.01234568	3853.30154639	4240.04310345
alpha_rarefaction_25010_2.txt	25010	2	5240.15964912	5495.43730887	4795.57965451	4512.75984252	4749.00588235	4681.12730627	4922.10204082	5048.8657845	5004.88888889	4685.17567568	4002.10723861	4409.4628821
alpha_rarefaction_25010_3.txt	25010	3	5468.58216783	5622.15959004	4651.60540541	4587.50679612	4787.87090164	4826.25585938	4905.73702422	5078.95953757	5050.49822064	4574.29896907	3801.30548926	4375.63758389
alpha_rarefaction_25010_4.txt	25010	4	5281.04429302	5789.05381166	4570.63422819	4579.96138996	4959.84061135	4767.87689394	4984.93559928	5206.90091743	5257.44401544	4614.47657841	3857.73979592	4425.18837209
alpha_rarefaction_25010_5.txt	25010	5	5412.88255613	5625.78538103	4601.75631769	4379.06088561	5008.23799127	4692.95984704	4900.12568306	5215.14092664	4960.17647059	4795.78586279	4104.82849604	4227.45263158
alpha_rarefaction_25010_6.txt	25010	6	5032.94694534	5693.46266471	4652.96167883	4623.87549407	4633.07976654	4959.49382716	5109.97058824	5099.58396947	5027.91985428	4702.90909091	3729.54098361	4423.08219178
alpha_rarefaction_25010_7.txt	25010	7	5312.36792453	5834.76981707	4853.7679558	4583.59840954	4510.26654064	4979.22535211	4983.18838028	5075.81370826	5150.94774775	4520.40594059	3741.52358491	4210.69868996
alpha_rarefaction_25010_8.txt	25010	8	5004.96046129	5703.87051482	4800.20192308	4556.43378119	4994.47169811	5019.375	4881.88848263	4779.88461538	5276.48884758	4468.85880077	3832.7735369	4297.70860927
alpha_rarefaction_25010_9.txt	25010	9	5125.56976744	5576.66255778	4801.84456929	4645.53433476	4776.62862669	4596.2849162	5136.01526718	4957.70718232	5297.35261194	4516.36363636	3962.51752022	4411.15529412
alpha_rarefaction_30010_0.txt	30010	0	5512.95616883	6023.33480176	4755.63851351	4838.54425612	4919.95323741	5035.79852126	5220.4	5357.00181818	5453.37823834	5062.38326848	4031.22516556	4586.50204082
alpha_rarefaction_30010_1.txt	30010	1	5517.93939394	6069.00873362	4700.23247863	4999.70114943	5017.05607477	4975.65406427	5410.07653061	5148.36046512	5423.43174061	4988.07633588	4056.7182448	4621.84221311
alpha_rarefaction_30010_2.txt	30010	2	5645.54878049	6079.70234604	4905.60033727	4886.84069098	4970.61452514	5208.50549451	5240.60173913	5104.10234899	5106.28019324	4718.38808664	4017.13585746	4620.04216867
alpha_rarefaction_30010_3.txt	30010	3	5515.48188976	6114.56631893	4877.69639794	4965.67178503	5127.96153846	5212.6245283	5345.75247525	5286.21651376	5210.5	4981.22485207	4210.15827338	4562.27083333
alpha_rarefaction_30010_4.txt	30010	4	5309.19818457	6144.76845152	4766.09401709	4814.33395522	4831.99621928	4919.40651801	5355.02702703	5140.18469218	5272.92393027	5025.22645291	4032.64464692	4651.21875
alpha_rarefaction_30010_5.txt	30010	5	5590.03986711	5861.32853026	4747.01631321	4850.23653846	4940.55159475	5051.58504673	5289.56432247	5255.1758794	5391.64924115	4878.68411215	4014.80176211	4463.77118644
alpha_rarefaction_30010_6.txt	30010	6	5297.85381026	6228.36144578	4942.30985915	4760.95849057	5141.91295938	5017.48375451	5325.44385965	5506.84509466	5338.73993289	5098.32346723	4145.12315271	4599.2704918
alpha_rarefaction_30010_7.txt	30010	7	5498.67802385	6270.01783061	4996.57221207	4939.26029963	4949.16730038	4943.95729537	5161.53518822	5384.3826087	5462.00535714	4839.21361059	3880.3258427	4509.40078585
alpha_rarefaction_30010_8.txt	30010	8	5486.26511628	5859.18607955	4984.37258348	5001.95266272	4857.86785714	4922.14132379	5313.83333333	5363.77540107	5326.55740433	4795.55432781	4301.93796526	4584.92464358
alpha_rarefaction_30010_9.txt	30010	9	5422.91344668	5722.64493759	4721.56612903	4712.00531915	4877.15343915	5138.05978261	5442.29601518	5246.93015332	5234.08757962	4932.06156716	4129.93069307	4574.14925373
alpha_rarefaction_35010_0.txt	35010	0	5528.01756955	6062.30865922	5206.83876812	4977.48771267	5300.10307414	5236.51690821	5727.56315789	5301.38714992	5926.44483363	4964.48897059	4151.75806452	4711.44117647
alpha_rarefaction_35010_1.txt	35010	1	5736.89010989	6209.8457223	5039.01579779	5083.07821229	5349.13924051	5151.08264463	5459.52801358	5587.82666667	5506.25480769	5097.71214953	4310.7571116	4713.60576923
alpha_rarefaction_35010_2.txt	35010	2	5577.53731343	6195.46444122	4936.07258065	5047.73674589	5132.18035714	5227.85051546	5374.47949527	5669.6731794	5731.9486755	5265.05534351	4453.89018692	4815.24894515
alpha_rarefaction_35010_3.txt	35010	3	5667.08610272	6285.89583333	4942.00983607	4919.39032815	5355.23339318	5322.89130435	5434.72259136	5620.91564148	5513.56923077	5067.44714038	4343.4091954	4707.49129594
alpha_rarefaction_35010_4.txt	35010	4	5861.38240271	6321.10204082	5130.51602024	4983.25978648	5122.45974955	5160.80279232	5571.62229617	5501.52854812	5574.61138211	4986.85585586	4373.63087248	4891.69428008
alpha_rarefaction_35010_5.txt	35010	5	5772.00151515	6051.08288043	4980.44463087	5004.07977737	5318.4264432	5294.73549488	5462.17361111	5417.12618297	5581.91891892	5137.26056338	4258.38383838	5045.25462012
